name,lat,lon,city,username,password,theatre_id
"AB Miniplex: Shivranjini Cross Road, Satellite",23.02494,72.52938,6,karthiga,LA8IuktFUgQ,1
Amber Cinema: Ahmedabad,23.03431,72.62002,6,RedvelvetDaisuki,HQITv8d1lj,2
Anupam Cinema: Ahmedabad,23.00656,72.61333,6,Damonashu,lkU2M69XU,3
"Apsara Cinema, Behrampura",23.0039742,72.597468,6,bskai,sRvHyigw1,4
"Aradhana Cinema, Behrampura",23.00396,72.5975195,6,shuzzable,uQczvXOak,5
Carnival: Himalaya Mall,23.04708,72.53093,6,terune_uzumaki,qafey3ll,6
"Cinemax: Dev Arc, Ahmedabad",23.02573,72.50776,6,Bas_G,FUzS11JS9,7
"Cinemax: Red Carpet, Ahmedabad",23.07968,72.5277,6,punane,TbQuPE5GM7,8
"Cinemax: Shiv, Ahmedabad",23.03188,72.57103,6,-otaku-sama-,rejYrK3lvg,9
"Cinepolis: Alpha One Mall, Ahmedabad",23.03952,72.53199,6,sprite1989,uXx0viQMKwA,10
City Gold Satellite: Ahmedabad,23.01568,72.52992,6,thetreedude,fT6Vh993n,11
City Gold: Ashram Road,23.0319,72.56999,6,Heihouka,uK9awJZNj,12
City Gold: Bapunagar,23.03743,72.61513,6,HimeAria,RCjRHsGqM77,13
City Gold: Bopal,23.02869,72.47856,6,Skallington,vjvsFFSf,14
City Gold: Motera,23.09203,72.59319,6,Slimak,oRvZmT5ObXI,15
Devi Multiplex: Naroda,23.07253,72.64998,6,Elysiun,gFGV6i3N2Y,16
"Galaxy, Station Road",23.0748037,72.6554437,6,jimothy000,NxxjP60dpc,17
"Hanjar Cinema, Gandhi Ashram",23.0263983,72.6040875,6,MistButterfly,3Jmyf6rq,18
K Sera Sera: SG Highway,23.02873,72.50858,6,BadAngel,bAKpm2KXs3,19
"Mira Cinema, Bhairavnath Road",22.9972166,72.5927863,6,Not_Rijad,mRs4vAVXWD,20
Miraj Cinemas Cine Pride: Krishna Nagar,23.05369,72.64335,6,ProperBritish,UWKHa2m2,21
"Miraj Cinemas: Vitthal Plaza, New Naroda",23.07891,72.67304,6,Cranberry_cakes,E6I8Caq5TRE,22
Miraj City Pulse: Ahmedabad,23.01467,72.5964,6,yen_otaku,FRYOMCL37,23
"Mukta A2 Cinemas: Gulmohar Park Mall, Satellite Rd",23.02655,72.50996,6,kioniel,2ztDPMYCQ,24
"PVR: Acropolis, Ahmedabad",23.04884,72.51621,6,iLLMaTiCc,25zSxUrGvQ,25
"PVR: Arved Transcube, Ahmedabad",23.0685,72.57602,6,Xinil,u0miLSlJ,26
"PVR: Motera, Ahmedabad",23.10273,72.59521,6,xxhatechasexx,ZeLdBakh,27
Rajhans Cinemas: Nikol,23.05089,72.66758,6,helenply,QLkzQMcYX,28
Rajhans Cinemas: Satadhar,23.06663,72.53127,6,cfoordddd,MGSKKgRXrT,29
Revolution Multiplex: Ahmedabad,22.99858,72.63548,6,hood_rad,XD5ny50rb,30
"Sapna Cinema, Juhapura",22.9855719,72.500771,6,sweetangie,ueBsv9ymKn,31
"Shital Cinema, Gomtipur",23.0217999,72.6105388,6,detestedlove311,lBjzVNOVVf,32
"Shree Balaji Agora Mall, Chandkheda",23.1144241,72.5679062,6,ihasabucket,4PvWYyhjQQV,33
"Time Cinema: CG Road, Ahmedabad",23.02435,72.55651,6,YunYun_Pachina,BQDNowZD,34
"Usha Talkies, Gomtipur",23.017995,72.6152555,6,morbid3500,Pn1VRJNxP,35
Wide Angle: Ahmedabad,23.02457,72.50745,6,xTheFallenx,aaXW362954,36
"7D Mastii: Element Mall, Nagwara",13.04541,77.6266,0,L-LawlietDN,9iLPddX7,37
"7D Mastiii: Forum Value Mall, Whitefield",12.95972,77.74778,0,zZKinhoZz,PRbRuARcu4I,38
"7D Voyage: Central Mall, Bellandur",12.9264,77.67533,0,xXxToxic94xXx,uLbAhtShkA,39
7D VR Voyage: Garuda Mall,12.97004,77.60999,0,SaberWolfKaiNi,ca7twy45GQ,40
Abhinay Theatre: Gandhi Nagar,12.97354,77.57755,0,glittermilk,lykS2LZFj5i,41
Akash Cinemas (Rajeshwari Theatre): Laggere,13.01481,77.51611,0,asksam,X5c4ko7br,42
Amruth Theatre: Lingarajapuram,13.01244,77.62621,0,misumimi,FZLRXl6xFI,43
"Anand Theatre, No-268",13.011335,77.609965,0,fluffylonewolf,yKhGVXhc1Af,44
Anjan Digital 4K A/C Cinema: Magadi Road,12.97517,77.55891,0,Lithuelle,9ElEs3tzFR4,45
Anupama Theatre: Gandhinagar,12.97616,77.5756,0,scootarski,Ud5GngzBZB,46
Aruna Theatre: Srirampuram,12.98679,77.56722,0,Cheek16,488mLEHeS31,47
"Ascendas Park Square Mall, EPIP",12.987032,77.736366,0,bruital-legend,uSWogtU4L50,48
Balaji Digital 2K Cinema: Tavarekere,12.92554,77.60781,0,Yukia-Kontan,xK7empD1,49
"Bharathi Chitra Mandira, Dasarahalli",13.0415115,77.5175238,0,Goudarz,yttKh7b8,50
Bhumika Digital 2K Cinema: Gandhinagar,12.97382,77.57964,0,Akihara,t2AlZTwls,51
Carnival: Rockline Mall,13.04075,77.51825,0,Tomoki-sama,mcUBKKY8kD,52
Cauvery Theatre: Sankey Road,13.00256,77.58328,0,Sakurei,dFQXCtkWdiV,53
Chandrodaya Digital 2K Cinema: Vidyapeeta Circle,12.93546,77.56129,0,Johnny_FBI,dvo5ftzKumX,54
Cinepolis: Binnypet Mall,12.96579,77.56202,0,raickos,5HI0PTM6,55
"Cinepolis: Orion East Mall, Banaswadi",13.00121,77.63265,0,josh62,yMp468BAs,56
Cinepolis: Royal Meenakshi Mall,12.876,77.59582,0,Spike,uaCB2tD2,57
Cinesquare Savitha Theatre: Malleshwaram,12.99296,77.57113,0,Perfection_Freak,5TLCw8WA,58
"Deepak Theatre, Mahatma Gandhi Road",12.997947,77.5405319,0,AAA,jiivoMsCm,59
Eshwari Digital 2K Cinema: Banashankari,12.92359,77.55344,0,CarinaLuna,kaaw13bE,60
Everest Digital 2K Cinema: Frazer Town,13.00013,77.61844,0,K_P,5fep7E5UJTK,61
"Fame Shankarnag Chitramandira, Mahatma Gandhi Road",12.9743036,77.6098151,0,LyannaStark,dxrijyfz,62
"Fun Cinemas: Sigma Mall, Bengaluru",12.9882,77.59477,0,xXsim00Xx,iT9xuXB4v,63
Galaxy Paradise Screen 1: Bommanahalli Hosur Rd,12.89108,77.62648,0,Kyousuke,guA3Cusm,64
Galaxy Paradise: Screen 2,12.89108,77.62648,0,Redylo,XugfQbVrpS,65
"Ganesh Theatre, Attur",13.1001929,77.5872728,0,Eab1990,za6QTbwUoM,66
"Gopalan Cinemas: Arcade Mall, Mysore Road",12.93531,77.51761,0,magedgamed,xHcVG7pg,67
Gopalan Cinemas: Bannerghatta Road,12.91444,77.5994,0,edwardf,PhA11hWl,68
Gopalan Grand Mall: Old Madras Road,12.99336,77.66397,0,diordiah,LO0NRQVdNVu,69
"Gopalan Miniplex: Signature Mall, Old Madras Road",12.99299,77.66188,0,saphireninja,rIChU9S3t,70
Goverdhan Theatre: Yeshwantpur,13.02163,77.55132,0,ShinyShinigami,X5xGNAYe06,71
"Guru Siddeshwara Chitra Mandira, Anjanapura",12.8728904,77.5575757,0,Tyricky,ysOmznti7Sd,72
HMT Digital 4K Cinema: Jalahalli,13.0495,77.5439,0,Chocostars,OUns8jCD2,73
Innovative Multiplex: Marathahalli,12.9519,77.69905,0,KawaiiChiyo,pFNAAuHBP,74
"INOX Lido: Off MG Road, Ulsoor",12.97324,77.62128,0,Marie7,ROx6hCc0,75
INOX: Brookefield Mall,12.96623,77.71794,0,Gigikasp,Yzw4ehU2,76
"INOX: Central, JP Nagar, Mantri Junction",12.9164,77.59241,0,Unwind,BR7smw7BX,77
"INOX: Forum Neighbourhood Mall, Whitefield",12.9595,77.74789,0,demitel,DFE5ZH6CuwH,78
"INOX: Garuda Mall, Magrath Road",12.97009,77.60943,0,geauxtiger1,TnxwzlNDGH,79
"INOX: Garuda Swagath Mall, Jayanagar",12.92906,77.59123,0,SenpajBiju,feFYZDzog,80
"INOX: Mantri Square, Malleshwaram",12.99216,77.5703,0,Tahretsim,KCW45PUcJ,81
Kamakya Cinema: Banashankari,12.92331,77.55334,0,saligkaros,5lzfN1n2,82
Kapali Theatre: Gandhi Nagar,12.97791,77.57578,0,anime_fan_800,4xNxtzSchsY,83
Keshava Theatre -,13.0282203,77.5538235,0,shiftyichi,iIYpXrw8,84
Lakshmi Digital 4K Cinema: Tavarekere,12.92524,77.60775,0,LeakoSuzuki,ZSnp5twm,85
"Lakshmi Theatre, Dharmaram College",12.9362,77.6028377,0,WhatsUpWitches,U9aPqUwn7G,86
"Lavanya, Sivan Chetty Gardens",12.9848012,77.6148355,0,HotDogLoli,7ksScLkHB6t,87
Maheshwari Digital 4K Cinema: Bannerghatta Road,12.92339,77.59894,0,Kuba747,1kkrqU5g,88
Manasa Digital 4K Dolby Atmos: Konanakunte,12.89064,77.5622,0,Wizzaroo,RS7OAhBHiq,89
"Manasa Theatre, Doddakallasandra",12.8906129,77.5622187,0,IHeartRainbows44,dMeCALMEe,90
Menaka Talkies: Gandhi Nagar,12.97314,77.57934,0,Tracy_Zski,s40EY0gPDnL,91
"Mohan Theatre, Magadi Main Road",12.9987083,77.5035393,0,pim,nb7OOevDO,92
Movie Land,12.9788182,77.5755948,0,Keval91,liakOTrlPRO,93
Mukunda Dolby Atmos: M S Nagar,13.00325,77.63585,0,Vins,o2LTMz9FP,94
Murali Gokula Digital 4K Cinema: Mathikere,13.03842,77.5526,0,Zrockerstrawhat,B9FvYlMC4,95
"N Lakshmi Chitra Mandira, B G Road",12.860183,77.589458,0,Azula_Yatzugami,Has5GtQl,96
"Nalanda Theatre, Mysore Road",12.9605832,77.5578493,0,Tekiru,WYinWSlJ,97
"Narendra Talkies, Arabic College",13.026733,77.62075,0,sharonzili,kLy0zaTuVqz,98
Nartaki Theatre: Gandhi Nagar,12.9743,77.57619,0,Seishuku,r9v5KZ5U6mH,99
Nataraj Theatre: Sheshadripuram,12.9897863,77.5729823,0,SynysterKobra,OthBCvn6npk,100
Navrang Theatre: Rajaji Nagar,12.99784,77.5528,0,Estebanrojas,S01KTBhwbaK,101
"Padma Theatre, Amruthahalli",13.0687241,77.6026388,0,saeyoungwife,jBClfQ9Vr9A,102
Parimala Digital 2K Cinema: K.R.Market,12.963107,77.57705,0,DulcetPerfection,oXYs6828,103
Poornima Theatre: J.C. Road,12.96096,77.58742,0,Rorek,PWhxkNCA,104
Pradeep Theatre: K.R.Market,12.963106,77.577049,0,aimeetron,apFRR3I1R,105
"Prasanna Theatre, Magadi Road",12.9740859,77.5520529,0,siscorevolution,pMU9SpEsDX4,106
Pushpanjali A/C Theatre: B.N. Pura,12.99809,77.67521,0,VestedChaos144,ofYrLeiYFc,107
"Pushpanjali Talkies, Dinnur Main Road",13.0218949,77.6031292,0,lowbitsoundninja,7Ij9UOetG,108
